Location,Bedroom,Total_Sqft,Bathroom,Price,Price/Sqft
9th Phase JP Nagar,3,1571.0,3.0,6500000,4137.49
9th Phase JP Nagar,4,1900.0,4.0,8000000,4210.53
9th Phase JP Nagar,2,890.0,2.0,4500000,5056.18
9th Phase JP Nagar,3,1240.0,2.0,3989000,3216.94
9th Phase JP Nagar,4,5000.0,4.0,30000000,6000.0
9th Phase JP Nagar,3,1240.0,2.0,4285000,3455.65
9th Phase JP Nagar,2,1050.0,2.0,3500000,3333.33
9th Phase JP Nagar,2,1331.95,2.0,6900000,5180.37
AECS Layout,2,1100.0,2.0,4500000,4090.91
AECS Layout,2,1028.0,2.0,4200000,4085.6
AECS Layout,2,1199.0,2.0,6500000,5421.18
AECS Layout,2,1080.0,2.0,5500000,5092.59
AECS Layout,2,1123.0,2.0,6400000,5699.02
AECS Layout,2,1308.0,2.0,6000000,4587.16
AECS Layout,2,1005.0,2.0,5500000,5472.64
AECS Layout,3,2000.0,3.0,9000000,4500.0
Abbigere,2,985.0,2.0,4039000,4100.51
Abbigere,6,2200.0,6.0,6800000,3090.91
Abbigere,1,765.0,2.0,3000000,3921.57
Abbigere,2,880.0,2.0,3500000,3977.27
Abbigere,2,795.0,2.0,3254000,4093.08
Abbigere,2,1005.0,2.0,3959000,3939.3
Abbigere,1,734.0,1.0,1982000,2700.27
Abbigere,3,1260.0,2.0,4500000,3571.43
Abbigere,2,1020.0,2.0,4182000,4100.0
Abbigere,2,985.0,2.0,4039000,4100.51
Abbigere,6,2500.0,6.0,8100000,3240.0
Abbigere,2,795.0,2.0,3254000,4093.08
Abbigere,2,1130.0,2.0,4633000,4100.0
Abbigere,2,795.0,1.0,3260000,4100.63
Abbigere,8,3000.0,8.0,15000000,5000.0
Abbigere,2,985.0,2.0,3892000,3951.27
Abbigere,2,1000.0,2.0,4100000,4100.0
Abbigere,2,995.0,2.0,4079999,4100.5
Abbigere,2,1020.0,2.0,4079999,4000.0
Akshaya Nagar,2,1388.0,2.0,5700000,4106.63
Akshaya Nagar,2,1070.0,2.0,5400000,5046.73
Akshaya Nagar,2,1280.0,2.0,5800000,4531.25
Akshaya Nagar,3,1662.0,3.0,8510000,5120.34
Akshaya Nagar,3,1897.0,3.0,12000000,6325.78
Akshaya Nagar,3,1410.0,2.0,7500000,5319.15
Akshaya Nagar,3,1360.0,2.0,8500000,6250.0
Akshaya Nagar,3,1600.0,2.0,6500000,4062.5
Akshaya Nagar,3,1410.0,2.0,8000000,5673.76
Akshaya Nagar,3,1662.0,3.0,8500000,5114.32
Akshaya Nagar,3,1662.0,3.0,8550000,5144.4
Akshaya Nagar,2,1280.0,2.0,6000000,4687.5
Akshaya Nagar,3,1666.0,3.0,9500000,5702.28
Akshaya Nagar,3,1575.0,3.0,9000000,5714.29
Akshaya Nagar,3,1430.0,2.0,7500000,5244.76
Akshaya Nagar,3,1419.0,2.0,7300000,5144.47
Akshaya Nagar,2,1280.0,2.0,6000000,4687.5
Akshaya Nagar,2,1200.0,2.0,5000000,4166.67
Akshaya Nagar,2,1092.0,2.0,6000000,5494.51
Akshaya Nagar,3,1690.0,3.0,8500000,5029.59
Akshaya Nagar,3,1700.0,3.0,8000000,4705.88
Akshaya Nagar,3,1897.0,4.0,9300000,4902.48
Akshaya Nagar,3,1884.0,3.0,9800000,5201.7
Akshaya Nagar,2,1314.0,2.0,6880000,5235.92
Akshaya Nagar,3,1690.0,3.0,8500000,5029.59
Akshaya Nagar,2,1265.0,2.0,6700000,5296.44
Akshaya Nagar,2,1126.0,2.0,5500000,4884.55
Akshaya Nagar,3,2300.0,4.0,10200000,4434.78
Akshaya Nagar,3,1662.0,3.0,9000000,5415.16
Akshaya Nagar,3,1420.0,2.0,7500000,5281.69
Akshaya Nagar,3,1412.0,2.0,8800000,6232.29
Akshaya Nagar,3,1434.0,3.0,8400000,5857.74
Akshaya Nagar,3,1890.0,4.0,10000000,5291.01
Akshaya Nagar,3,2650.0,3.0,12500000,4716.98
Akshaya Nagar,3,1419.0,2.0,8700000,6131.08
Akshaya Nagar,2,1300.0,2.0,5400000,4153.85
Akshaya Nagar,3,1690.0,3.0,8500000,5029.59
Akshaya Nagar,2,1113.0,2.0,5200000,4672.06
Akshaya Nagar,3,1820.0,4.0,9500000,5219.78
Akshaya Nagar,2,1100.0,2.0,4800000,4363.64
Akshaya Nagar,3,1896.0,3.0,10200000,5379.75
Akshaya Nagar,2,1300.0,2.0,6600000,5076.92
Akshaya Nagar,2,1225.0,2.0,6800000,5551.02
Akshaya Nagar,2,1179.0,2.0,5100000,4325.7
Akshaya Nagar,3,1421.0,2.0,7300000,5137.23
Akshaya Nagar,3,1893.0,4.0,9500000,5018.49
Akshaya Nagar,2,900.0,2.0,4500000,5000.0
Ambalipura,2,1105.0,2.0,7500000,6787.33
Ambalipura,3,1800.0,3.0,11000000,6111.11
Ambalipura,2,1150.0,2.0,8000000,6956.52
Ambalipura,2,1250.0,2.0,6625000,5300.0
Ambalipura,2,1332.0,2.0,7900000,5930.93
Ambalipura,3,1730.0,3.0,12000000,6936.42
Ambalipura,3,3500.0,3.0,19800000,5657.14
Ambalipura,2,1230.0,2.0,6625000,5386.18
Ambalipura,2,1351.0,2.0,7700000,5699.48
Ambalipura,4,2550.0,4.0,14900000,5843.14
Ambalipura,3,1817.0,3.0,10200000,5613.65
Ambalipura,4,2750.0,4.0,14200000,5163.64
Ambalipura,2,1303.0,2.0,8000000,6139.68
Ambalipura,3,1607.0,2.0,11200000,6969.51
Ambalipura,1,770.0,1.0,4382000,5690.91
Ambalipura,2,1700.0,2.0,7600000,4470.59
Ambalipura,2,1060.0,2.0,5850000,5518.87
Ambalipura,3,1650.0,3.0,10000000,6060.61
Ambalipura,3,1607.0,2.0,11200000,6969.51
Ambalipura,2,1198.0,2.0,8000000,6677.8
Ambedkar Nagar,3,1935.0,4.0,13000000,6718.35
Ambedkar Nagar,2,1424.0,2.0,9000000,6320.22
Ambedkar Nagar,3,2225.0,4.0,16900000,7595.51
Ambedkar Nagar,3,1862.0,3.0,12000000,6444.68
Ambedkar Nagar,3,1850.0,4.0,13900000,7513.51
Ambedkar Nagar,3,1936.0,4.0,12600000,6508.26
Ambedkar Nagar,3,1862.0,3.0,11900000,6390.98
Ambedkar Nagar,2,1424.0,2.0,9000000,6320.22
Ambedkar Nagar,3,2150.0,4.0,12500000,5813.95
Ambedkar Nagar,4,3530.0,4.0,29000000,8215.3
Ambedkar Nagar,3,1856.0,3.0,12000000,6465.52
Ambedkar Nagar,3,1852.0,3.0,13000000,7019.44
Ambedkar Nagar,3,1850.0,4.0,12000000,6486.49
Ambedkar Nagar,2,1367.0,2.0,8600000,6291.15
Ambedkar Nagar,4,3565.0,4.0,25500000,7152.88
Ambedkar Nagar,2,1409.0,2.0,9500000,6742.37
Ambedkar Nagar,3,1950.0,4.0,12000000,6153.85
Ambedkar Nagar,3,1921.0,4.0,12900000,6715.25
Ambedkar Nagar,3,1920.0,4.0,12100000,6302.08
Ambedkar Nagar,3,1935.0,4.0,12500000,6459.95
Ambedkar Nagar,3,1852.0,4.0,12200000,6587.47
Ambedkar Nagar,3,1950.0,4.0,12000000,6153.85
Ambedkar Nagar,3,1852.0,3.0,12500000,6749.46
Ambedkar Nagar,3,1850.0,4.0,12100000,6540.54
Ambedkar Nagar,2,1425.0,2.0,9400000,6596.49
Ambedkar Nagar,3,2395.0,4.0,15000000,6263.05
Amruthahalli,2,900.0,2.0,4000000,4444.44
Amruthahalli,2,1200.0,2.0,5500000,4583.33
Amruthahalli,3,1900.0,3.0,13500000,7105.26
Amruthahalli,2,924.0,2.0,4500000,4870.13
Amruthahalli,2,900.0,2.0,6000000,6666.67
Amruthahalli,2,1100.0,2.0,4500000,4090.91
Amruthahalli,2,1200.0,2.0,5500000,4583.33
Amruthahalli,3,1350.0,2.0,6300000,4666.67
Amruthahalli,3,1605.0,3.0,6500000,4049.84
Amruthahalli,3,1700.0,3.0,7700000,4529.41
Amruthahalli,3,1450.0,2.0,8500000,5862.07
Amruthahalli,2,1200.0,2.0,5500000,4583.33
Amruthahalli,2,1250.0,2.0,7900000,6320.0
Amruthahalli,2,1190.0,2.0,5000000,4201.68
Amruthahalli,2,1202.0,2.0,6500000,5407.65
Amruthahalli,2,1340.0,2.0,7500000,5597.01
Amruthahalli,3,2650.0,4.0,17500000,6603.77
Amruthahalli,3,1450.0,2.0,9000000,6206.9
Amruthahalli,2,1025.0,2.0,4200000,4097.56
Amruthahalli,1,485.0,1.0,1950000,4020.62
Anandapura,2,1167.0,2.0,4376000,3749.79
Anandapura,2,1000.0,2.0,5500000,5500.0
Anandapura,2,1141.0,2.0,4279000,3750.22
Anandapura,3,1576.0,3.0,5910000,3750.0
Anandapura,2,1200.0,2.0,6700000,5583.33
Anandapura,2,1200.0,2.0,5800000,4833.33
Anandapura,2,1151.0,2.0,4310000,3744.57
Anandapura,2,1141.0,2.0,4275000,3746.71
Anandapura,2,900.0,2.0,4800000,5333.33
Anandapura,4,1749.0,4.0,9000000,5145.8
Anandapura,2,1151.0,2.0,4290000,3727.19
Anandapura,3,1576.0,3.0,5800000,3680.2
Anandapura,2,1250.0,2.0,4500000,3600.0
Anandapura,2,1151.0,2.0,4316000,3749.78
Anandapura,2,1200.0,2.0,5800000,4833.33
Anandapura,3,1200.0,2.0,6600000,5500.0
Anandapura,3,1415.0,2.0,7400000,5229.68
Anandapura,2,1200.0,2.0,5000000,4166.67
Anandapura,2,1141.0,2.0,5000000,4382.12
Anandapura,3,1576.0,3.0,5870000,3724.62
Ananth Nagar,1,500.0,1.0,1400000,2800.0
Ananth Nagar,2,1100.0,2.0,3150000,2863.64
Ananth Nagar,2,982.0,2.0,2455000,2500.0
Ananth Nagar,1,500.0,2.0,1400000,2800.0
Ananth Nagar,2,900.0,2.0,2250000,2500.0
Ananth Nagar,2,908.0,2.0,2600000,2863.44
Ananth Nagar,2,870.0,2.0,3600000,4137.93
Ananth Nagar,2,937.0,2.0,3500000,3735.33
Ananth Nagar,2,960.0,2.0,3700000,3854.17
Ananth Nagar,1,500.0,1.0,1400000,2800.0
Ananth Nagar,2,1000.0,2.0,2970000,2970.0
Ananth Nagar,2,850.0,2.0,2599000,3057.65
Ananth Nagar,2,902.0,2.0,2526000,2800.44
Ananth Nagar,3,1470.0,3.0,5400000,3673.47
Ananth Nagar,2,810.0,2.0,2550000,3148.15
Ananth Nagar,2,890.0,2.0,2700000,3033.71
Ananth Nagar,2,1200.0,2.0,3600000,3000.0
Ananth Nagar,3,1319.0,3.0,3775000,2862.02
Ananth Nagar,3,1319.0,3.0,4200000,3184.23
Ananth Nagar,2,1000.0,2.0,2500000,2500.0
Ananth Nagar,2,902.0,2.0,2500000,2771.62
Ananth Nagar,2,930.0,2.0,2599000,2794.62
