,Price
4634,23000000
8579,6200000
479,3600000
3366,8422000
1757,4800000
5911,7500000
1148,6944000
3628,6500000
1212,12700000
4649,5700000
4586,10000000
2812,22500000
1908,2310000
1298,4200000
8901,6500000
2180,6450000
1655,6047000
1205,7597000
6420,5600000
9284,7550000
8047,15500000
7400,2200000
6509,3482000
4351,6875000
1162,11000000
1571,3137000
199,7331000
8235,3600000
635,3800000
6779,6000000
8772,8000000
5195,4590000
4014,3190000
3104,6600000
7168,19200000
513,9200000
6251,5500000
806,6000000
29,8500000
9894,7800000
5620,6359000
8145,5500000
4977,7450000
7017,4000000
5888,32500000
1658,4742000
8381,10200000
2994,12900000
9322,3700000
9033,4500000
8033,15000000
1693,31000000
7144,17000000
3240,4121000
2834,5200000
8008,6200000
9988,5066000
814,5950000
9326,6730000
6113,6000000
3079,8250000
8467,12600000
4421,3650000
1987,10000000
9262,6700000
8444,10000000
1975,7500000
8271,30000000
5954,5500000
9141,4700000
9183,4700000
5485,5600000
3936,7800000
2511,8000000
1674,6500000
9862,4500000
5541,4500000
2762,11500000
925,8500000
1099,7600000
6469,10000000
228,4400000
9904,3700000
702,7800000
4750,4927000
6405,25000000
4685,5600000
6937,20000000
9023,18500000
2799,15350000
4972,5600000
6281,7600000
4896,6900000
2190,2835000
4516,26000000
4304,7800000
8983,14500000
1252,5400000
3991,5500000
1260,3500000
1377,6800000
7241,8600000
3234,4100000
6311,9900000
8563,27500000
8975,8000000
9572,7500000
425,5800000
8805,11500000
18,10000000
4885,11000000
2510,7000000
3575,16000000
5005,8300000
1710,50100000
9387,12600000
6899,4700000
3994,5900000
9035,3972999
3269,4500000
710,7000000
7408,9500000
2290,3784000
5360,26200000
8943,13500000
848,7800000
5947,15000000
7431,40000000
6962,3100000
7163,3500000
180,11800000
4077,9215000
8669,6650000
3318,4480000
2390,18000000
8989,8700000
7748,7250000
5142,6650000
5264,4900000
8790,11400000
6102,7500000
5577,14000000
1695,9000000
3613,26050000
9574,6700000
8577,6500000
3316,7500000
9632,6900000
60,6500000
2302,3306000
9750,25300000
7286,21000000
5321,6550000
306,7500000
5276,4020000
5549,14000000
5284,5250000
9344,6740000
165,6800000
6212,8500000
1437,5430000
657,8100000
3191,8400000
8650,4375000
5054,12500000
4730,5300000
5989,7000000
6774,7500000
876,8322000
5097,9500000
7540,6000000
4804,8200000
4672,4300000
3725,6500000
4731,13900000
3677,8800000
241,5000000
8629,6000000
2028,4900000
3905,5800000
4686,4400000
1939,6548999
235,5183000
5141,8650000
5848,7200000
3061,13900000
258,8000000
7402,5500000
1407,8000000
8104,4850000
6243,4700000
3804,2150000
2616,6000000
7824,3833000
151,7065000
10052,5700000
1010,4500000
2123,3384000
65,5100000
701,4988000
5890,5800000
5950,13900000
10125,13500000
916,4739000
874,7800000
986,12000000
8746,12000000
2468,5658000
8766,4248000
5606,14500000
5205,7500000
6065,5000000
4053,5700000
9499,5270000
7710,12500000
7636,6000000
9978,12000000
4507,8000000
2806,7600000
3377,15300000
6635,5600000
6833,7000000
589,4800000
6942,1600000
5516,7000000
6017,4200000
1564,3800000
8255,12500000
6078,12000000
8926,10300000
8911,3282000
2333,7100000
4808,7500000
6068,6000000
2335,4980000
7401,19300000
2691,4400000
6073,16000000
718,6000000
7532,13500000
5873,5300000
3201,7103000
2835,23000000
5754,2500000
1706,125000000
6375,3000000
3160,8600000
2985,7200000
7877,5451000
94,9300000
5982,5600000
6978,7800000
3059,8373000
987,10300000
2973,10500000
2323,8200000
5143,4500000
2761,8700000
6639,2900000
1322,4000000
9571,22600000
6487,1600000
6971,6800000
8107,2690000
8245,14000000
9752,4100000
8179,14800000
1762,5645000
7593,7000000
9795,4876000
7312,6500000
4527,5066000
9436,4500000
5542,6200000
9009,5250000
4967,5300000
6414,4500000
8821,9500000
7480,4200000
3607,5335000
6326,7800000
5001,7000000
6384,5200000
4618,7000000
5994,13000000
2887,16500000
7114,25000000
7127,16000000
2522,4911000
1427,8500000
9977,9200000
816,11000000
6412,4700000
5852,11000000
9299,6200000
8981,10100000
5060,6800000
819,7000000
8917,10000000
755,10000000
1496,8500000
6725,9900000
9897,8600000
6314,8000000
2071,2663000
8843,6809999
10002,3300000
429,6600000
6381,7500000
8185,4200000
7793,5187000
3464,7600000
2084,3800000
6284,11000000
1537,1645000
8017,5266000
10006,2500000
4886,15000000
593,41600000
2705,4600000
1850,8500000
773,15000000
8205,4430000
8462,2700000
7212,34500000
7512,4500000
670,5358000
7588,36000000
2753,13200000
6670,4550000
7854,5000000
7112,6800000
4811,7500000
7771,4939000
9482,7900000
1815,20000000
245,4500000
3284,7000000
2951,16500000
9519,9500000
541,1700000
9948,26000000
6047,16500000
8779,13500000
3438,4320000
8783,9738000
7680,4639000
7861,4054000
2115,4200000
9796,5600000
1792,4115000
6536,3800000
4919,33200000
1712,80000000
3004,6000000
7353,4800000
6453,6800000
6874,4200000
8605,9000000
3108,17500000
4186,6000000
885,6500000
6988,22500000
8591,4500000
1848,4400000
9206,6775000
2702,4600000
8213,5600000
332,8400000
7703,13000000
10050,6137000
4474,3200000
104,10000000
2168,7300000
6424,5500000
4037,4700000
4360,5200000
4587,13000000
6919,17000000
6121,16500000
9877,6500000
2646,4600000
1891,8200000
2352,5800000
1541,2768000
1557,2512000
1265,3600000
7023,18000000
1424,10000000
2097,3200000
6694,15000000
7003,5200000
7446,5400000
5216,5500000
1387,17000000
1218,18500000
1842,3000000
2662,10100000
2416,6080000
5716,15000000
4094,9700000
1754,7759000
9587,6840000
7913,6300000
9974,9100000
7608,3450000
9627,3522000
990,12400000
4534,12000000
8700,6600000
32,5075000
1291,5550000
7471,5000000
384,12000000
3555,7000000
5539,4400000
5871,4900000
10000,6777000
7948,25150000
6491,4200000
6459,3600000
5535,12000000
4559,11000000
2991,12200000
706,6398000
8246,9829000
8918,7588500
1637,5612000
3325,5370000
483,3600000
4066,2600000
645,8100000
9607,4000000
111,5641000
3411,24000000
6339,10000000
3355,10000000
6817,5500000
3115,6959999
2715,4600000
7309,1300000
8252,7403000
2790,7500000
6032,24500000
4844,5000000
1126,5900000
3849,5900000
8460,21100000
7544,4986000
5140,7500000
6593,9200000
1493,18000000
2119,8550000
954,7300000
5075,23000000
763,24000000
1764,2691000
3158,8373000
4717,12100000
6554,35000000
6613,3500000
8366,5000000
6775,2900000
2456,3500000
3299,5300000
3412,10500000
9616,4500000
389,12000000
716,7500000
5095,10100000
406,7900000
3162,5100000
3444,4800000
4754,15000000
8809,4569000
7941,15000000
7319,11500000
2712,4600000
569,9000000
8181,4349000
5973,9900000
7419,20000000
4347,7798999
9668,5600000
9476,29000000
3872,5000000
1804,4118000
10083,7618000
3574,4788000
5425,5570000
724,9075000
7095,14500000
5751,5900000
5495,11500000
8453,5500000
4408,3100000
5397,5600000
9660,20000000
8751,13500000
127,10500000
3484,5100000
968,14200000
8127,4800000
2514,4950000
1333,4089000
6638,45000000
3636,11900000
7800,4800000
279,6000000
4016,6000000
3887,2950000
4514,33500000
4093,9584000
2433,6000000
9293,11500000
4829,9499000
3039,5550000
3206,7423000
7289,56000000
4716,8600000
2322,4600000
351,6625000
2276,3148000
7406,7700000
8773,7475000
5086,7500000
7778,6500000
2992,10400000
7807,5177000
3192,5763000
4952,38000000
9861,6525500
5985,27500000
8456,6500000
2142,2995000
1226,11100000
6611,13500000
8390,7990000
8334,9900000
6824,3200000
9700,10100000
5904,9500000
10026,1700000
6172,10800000
399,4500000
2700,6500000
5511,11500000
1046,4059000
4504,6500000
6898,3684000
1211,11100000
8721,8300000
9019,6000000
6891,5600000
7673,5079000
7514,6500000
7750,7440000
1922,6300000
7129,4900000
2979,13200000
61,6280000
10062,5700000
796,6945999
9744,5191000
754,30000000
10103,7618000
9922,10800000
3904,3800000
4427,6300000
4465,3200000
4131,9000000
8709,6600000
5225,7950000
8224,2798000
8327,5300000
6480,20000000
5088,18000000
7488,42500000
7747,5208000
8705,10000000
3673,7000000
2079,3900000
4740,11000000
2269,5500000
5327,9300000
1691,11100000
7278,9000000
6586,14500000
7447,8696000
4493,6600000
5047,6850000
9334,6700000
1181,9000000
884,6773000
3842,12500000
2968,5600000
9853,4500000
8664,5800000
4472,4100000
3766,4300000
7021,5500000
9013,6700000
9016,21500000
2091,4000000
1806,7100000
8770,13400000
8450,3110000
6260,8500000
1950,7500000
914,6000000
3306,5800000
4167,5657000
7962,15000000
4086,4100000
3291,6500000
3910,4700000
1870,28500000
9261,9000000
1590,4000000
3286,5300000
9228,5735000
4133,5800000
3831,10800000
849,8200000
5346,20800000
6114,6800000
5609,80000000
2070,5300000
3836,7800000
802,7300000
3558,31450000
917,4949000
1215,12900000
3835,7500000
3154,6961000
3097,13300000
6107,25000000
4971,7800000
2167,3500000
2317,5500000
6064,3800000
6647,14000000
4511,15000000
1964,3524000
10120,18500000
1438,8900000
117,19000000
5770,4950000
2462,12000000
9758,24700000
4664,5500000
7896,22500000
9582,15800000
7967,12700000
7153,3850000
6481,9800000
2114,2961000
3692,3410000
204,3800000
5157,9600000
10102,14500000
9716,3800000
8592,8000000
7705,12500000
6204,5600000
9573,6500000
6572,22000000
1040,4320000
6447,4800000
5762,11000000
752,11000000
2594,8800000
3682,10000000
7682,4639000
1161,6300000
7956,35000000
409,7500000
1370,12800000
3608,13900000
3908,6000000
2357,4800000
5559,60000000
2961,17000000
1055,5217000
2724,8500000
430,7400000
5777,8400000
6066,7500000
2483,13000000
9994,5310500
5233,3600000
5429,8900000
8825,7113000
5514,8500000
9230,3900000
2311,5300000
5289,11000000
5045,3800000
5484,7400000
556,1955000
24,8850000
6291,4590000
4218,10500000
6588,6000000
4711,8000000
2076,11000000
4325,8000000
9394,6200000
1144,10900000
6313,5500000
9431,5800000
3989,4500000
9388,6000000
4041,6238000
9656,9033000
6558,14000000
4028,3000000
841,5500000
1868,7000000
6137,3900000
1165,6200000
7755,5017000
4821,8300000
5799,15000000
8896,12900000
3946,7800000
3671,13800000
9423,5465000
7103,6500000
5820,11000000
5453,4700000
2162,1900000
1256,15000000
6707,5500000
7359,19000000
6006,7000000
265,9000000
5180,4500000
1016,6500000
5510,4200000
3137,6918000
9504,4136000
1907,22100000
8451,4500000
9502,3500000
7855,5400000
7931,49200000
6489,6500000
336,5400000
3923,10500000
8295,6200000
5499,4848000
830,5800000
9703,8500000
9397,4584000
7946,18500000
9075,5300000
139,11700000
5769,6033000
6620,7390000
2252,3621000
1970,5450000
253,2700000
7892,6700000
4091,7500000
3584,6800000
4277,15100000
514,15000000
6094,9800000
5220,6800000
4187,4000000
912,7800000
4063,5700000
738,12500000
9193,5700000
2619,4400000
6809,11500000
8227,3200000
7106,6500000
143,12500000
172,8500000
9874,13100000
5964,7500000
4198,6300000
9238,4000000
4556,27500000
9104,6000000
2229,3350000
1979,7050000
6030,14000000
3468,2900000
5554,7500000
3225,5913500
1995,6575000
9057,4655000
2523,4400000
2758,13500000
612,5150000
906,8900000
7529,12000000
6696,8000000
9699,22500000
4839,12000000
8814,9304000
9799,7000000
2999,5232000
9620,11800000
1495,21100000
2034,7500000
7635,9200000
4329,9200000
8371,15800000
2445,4850000
9726,3900000
6454,7750000
5259,17000000
647,11500000
2494,10500000
6938,20000000
6059,16500000
7555,9000000
8144,9000000
9071,4700000
162,7500000
504,3013000
6278,20000000
6301,4700000
1178,11500000
2161,4200000
52,6280000
7069,6800000
5949,6500000
8332,2900000
8347,4591000
8025,4610000
6471,16500000
1436,9200000
4992,12300000
2201,4400000
8760,5000000
9109,5000000
7728,5250000
8810,5974000
5297,13500000
4552,16000000
659,7000000
5303,2600000
6000,19000000
8519,10000000
426,4500000
6686,5000000
7079,5800000
9636,1982999
7030,6200000
8618,5600000
3680,8900000
4769,4827000
9950,3625000
1223,6447000
2874,9500000
9343,6731999
4939,6800000
1567,3022000
6525,7500000
4326,6100000
5012,3500000
9321,3600000
1999,5410000
6133,15000000
1232,5250000
1217,7597000
2857,13500000
2473,5900000
4477,4200000
7914,5600000
2344,5976000
570,1500000
4422,3400000
1452,8500000
6598,5400000
2235,2888000
4786,6500000
4154,3507000
8662,5017000
1653,4548000
267,8000000
3258,8050000
8143,4900000
3146,7800000
5411,5568000
2303,2650000
6013,2500000
2466,4000000
1909,4700000
2718,11000000
326,6700000
1824,4287000
6252,13000000
6156,8500000
8985,6800000
2095,4050000
1974,2946000
9999,5800000
4951,30000000
5366,7200000
420,4310000
381,8600000
5690,17600000
8195,16000000
9390,5191000
424,4290000
620,4340000
4396,5700000
8370,6200000
6191,3400000
3080,6200000
4257,11500000
3845,11200000
8947,15400000
9442,6500000
34,4725000
6841,3400000
2734,8400000
7063,6000000
7851,19500000
8516,11900000
2574,5600000
10074,14100000
9053,12000000
8631,7000000
8407,12500000
9946,3553000
4285,10400000
3385,32600000
5955,14500000
8912,11500000
2588,6000000
7456,2700000
5825,37500000
3915,4500000
2845,38600000
8204,6000000
6924,5900000
9923,8600000
4571,15000000
2240,3088000
9635,5760000
1469,9800000
1050,7000000
4448,2600000
2733,4600000
5789,8000000
4630,7609999
1561,2588000
2109,4050000
10075,7200000
9039,5600000
8362,8500000
3336,5515000
5948,6500000
1278,3700000
2936,15500000
7287,6500000
5313,4110000
8752,12000000
9438,9200000
3808,6000000
3421,10300000
7211,24000000
6120,6500000
9868,2400000
9271,5400000
2360,5100000
7444,7000000
3397,3800000
1911,4590000
6057,11000000
7407,4800000
3341,6984000
6563,5400000
1859,9000000
4758,8400000
208,4247000
4334,8000000
6456,14500000
7725,5350000
3190,8309000
2996,6600000
2817,11900000
3502,13000000
6657,9000000
3681,7677000
8644,3900000
10024,6500000
826,6600000
7166,21000000
6214,14000000
5597,40000000
6837,9000000
3981,3700000
4770,8900000
150,6250000
8384,8500000
2356,7900000
88,20000000
9133,5500000
5931,24500000
5169,6500000
7059,5150000
27,17500000
1138,5200000
8304,20000000
8832,13500000
7685,5000000
5918,5000000
5277,4450000
3506,27900000
6179,7200000
2469,4000000
7349,3300000
5906,28000000
3466,6048000
7812,4879000
6642,4975000
4518,26000000
3793,7200000
9834,5900000
6864,4900000
2801,8500000
8099,3500000
7554,5600000
354,19800000
7346,27000000
5090,13000000
9313,4000000
6760,3500000
3652,7700000
6508,14000000
6502,6000000
5717,6500000
3742,16200000
5983,18000000
6632,16000000
9484,3500000
3745,5680000
5326,4800000
3161,6700000
8861,11000000
767,6000000
2074,4410000
3310,2827500
6146,7500000
7394,6800000
4657,7600000
4594,11500000
5641,6270000
4151,9500000
8863,7725000
5260,8500000
8293,7500000
2399,7000000
7032,5500000
6071,4400000
3194,8200000
4010,2579000
3439,7150000
2941,17500000
467,3600000
5984,16000000
6010,6300000
7869,3854999
4585,16500000
4361,5200000
9790,6950000
10099,8500000
338,5200000
5585,9000000
293,3254000
7659,4600000
4130,4000000
2188,3060000
5891,18500000
5589,12500000
8959,15700000
8584,14000000
7179,10000000
6392,6000000
9903,6300000
8272,6000000
5526,10800000
2704,4600000
2341,3200000
9735,10000000
4728,4440000
459,2480000
10056,4617000
8527,5800000
4446,4200000
3597,9900000
1483,9500000
2050,3263000
2312,8400000
4081,8194000
5857,9700000
1007,9742000
3263,3800000
3184,7577000
4079,4600000
2402,5500000
6832,13000000
1864,15000000
8520,8000000
8945,16000000
9203,6500000
536,5280000
6206,20500000
6991,5300000
4387,6000000
6983,9500000
56,10000000
6238,45000000
4118,6098000
8635,6800000
531,5500000
1736,7856000
9006,6862000
8569,16000000
8794,12200000
4184,5800000
4466,3200000
8848,10500000
119,5817000
1032,4000000
1933,6875000
772,11100000
4710,6800000
4865,6739000
3489,5612000
3125,5600000
7839,5245000
4410,5000000
440,3600000
1825,4040000
4526,2800000
6652,10000000
8329,8700000
8827,6100000
5764,8500000
762,11800000
1671,7500000
7656,4600000
1342,3000000
3179,11000000
2604,4600000
865,6500000
7374,16500000
8858,5000000
828,9500000
3724,7000000
1749,2691000
6539,4200000
5156,7000000
5755,8500000
613,4650000
4221,9500000
5332,20400000
590,8000000
5528,7700000
9770,7000000
6691,4500000
8413,6500000
1512,1513500
5631,4700000
864,4000000
6103,8000000
3960,8800000
1449,9900000
678,4100000
7794,7800000
1172,11600000
5574,12500000
1006,5000000
820,7320000
5136,5367000
4236,4200000
7646,4700000
6468,12500000
2186,5200000
2116,1650000
3913,5750000
6440,9500000
9470,21000000
3825,9145000
4891,8691000
7203,6500000
6567,14900000
10114,3685000
7930,22300000
3701,4600000
7757,6850000
5626,29900000
6153,27000000
2467,6100000
1831,4200000
7632,7700000
4876,6400000
10121,13800000
8611,6500000
6748,5600000
1176,9186000
8844,6100000
840,10000000
2765,12000000
2553,12500000
8853,3853499
7234,2500000
8925,15000000
8965,15200000
5713,15000000
8397,38500000
2006,9000000
552,1250000
616,7800000
33,4025000
3507,20000000
9291,3478000
2701,10000000
3342,8612000
3736,6400000
15,21000000
2815,12300000
1242,15000000
8587,2700000
5420,15000000
4700,9200000
8836,13500000
6844,7000000
7938,36000000
3879,7500000
5882,7500000
7018,6800000
9759,5976000
8026,6300000
6735,6800000
3770,5790000
7493,9900000
8232,4100000
6441,5800000
1897,10200000
4348,8098999
250,4300000
2224,3306000
3019,5350000
9505,4500000
535,1100000
6521,16000000
779,4900000
907,6016000
5572,8000000
3638,8500000
348,7500000
5506,12000000
5110,8000000
2501,12500000
6015,3000000
1651,5351000
4284,5980000
96,15000000
6791,15200000
3294,6900000
9347,7000000
2677,6000000
8503,13500000
4907,6000000
2191,3522999
7583,6500000
6219,4800000
3732,5600000
5886,6500000
9985,6673000
4239,6700000
8588,6800000
9826,4100000
5187,6400000
5196,4500000
7531,28500000
989,14000000
1930,5500000
2875,19800000
8274,6200000
8781,7000000
7260,24000000
4254,17500000
5452,5000000
1828,3300000
8898,7000000
8464,11900000
6280,8800000
991,13000000
2015,4000000
5661,20000000
1921,4000000
6347,8500000
1169,4700000
3945,9500000
1678,5600000
23,21000000
114,8300000
4531,12700000
3071,5600000
5840,6100000
2478,23000000
4953,4500000
7302,5000000
3511,13000000
3467,7600000
614,11200000
2819,21200000
5444,5500000
2684,4200000
5783,5500000
7004,38000000
7668,6800000
3816,6600000
5599,6500000
474,3600000
9919,2600000
4734,12500000
7242,26500000
934,6293000
1131,3728000
8962,10500000
2974,14000000
4243,8900000
6605,6000000
8682,4900000
3173,13100000
3619,11000000
4940,33700000
7240,22500000
8142,9800000
391,12100000
2131,2300000
553,2488000
2326,5700000
7828,4017000
7092,11500000
3010,5450000
9161,6800000
7663,5980000
1633,6500000
8363,8200000
5818,7000000
215,9000000
8383,4900000
1918,4600000
6506,4500000
9615,12000000
2728,4400000
3801,3638000
698,4679000
2143,2400000
9101,9500000
2375,14500000
7862,4054000
372,13900000
2488,11000000
4009,2500000
4573,11000000
872,3800000
4440,3500000
9943,10500000
2636,4300000
6118,5500000
4513,15600000
8335,6200000
4409,2500000
5745,11000000
9440,7900000
10,21000000
8627,6800000
5222,5000000
3090,5945000
661,8300000
5302,2100000
6050,16600000
9267,3500000
6812,5500000
2442,5500000
9212,7100000
9304,7500000
7368,3200000
322,9300000
3486,5612000
9426,6200000
7086,6500000
1663,5546000
7858,6042000
2779,13100000
1666,5700000
268,4500000
7990,22500000
3373,38000000
1832,6500000
3144,10500000
2949,14000000
8748,12100000
4899,7630000
414,4376000
9650,5500000
6199,14000000
4488,1800000
2617,4600000
9508,40000000
9944,5500000
6857,19900000
6681,7200000
1854,9900000
7944,17000000
3176,11100000
782,4757000
355,6625000
3534,19100000
5981,8500000
9377,10100000
7698,12000000
9780,7181000
9715,4500000
5859,5500000
3159,7700000
2056,7750000
996,14500000
4934,9000000
6849,18000000
2814,7276000
966,4500000
877,7500000
8375,7000000
9188,4848000
3029,6900000
5244,17500000
637,3384000
6507,13000000
2309,7829000
9285,10000000
6776,23000000
675,6500000
643,11500000
3649,8500000
6916,6200000
4064,7500000
2291,4043000
6792,9000000
598,5600000
7078,12000000
9932,8000000
2899,9500000
2418,5200000
6651,4300000
4115,4000000
7584,21000000
7176,14600000
7262,9300000
1078,4400000
1374,14000000
148,10000000
4336,5800000
5815,4455000
9265,7000000
9845,6000000
2153,6700000
753,9500000
5172,6431000
4694,5200000
4416,8000000
6457,7500000
1309,4500000
1845,5000000
8692,6500000
9108,7400000
8743,6600000
2674,4600000
2238,5300000
771,5900000
8369,18300000
7564,5600000
8198,7800000
5044,10400000
9517,4500000
7404,6000000
7482,3500000
3447,13500000
5868,25500000
7274,6800000
2942,30000000
6215,5500000
7448,13500000
6666,7400000
1033,7000000
7324,4600000
5533,16500000
825,6500000
6168,4750000
3083,6961000
9910,5258000
711,6000000
7587,7500000
7154,6010000
7947,23000000
3065,10200000
3832,6820000
4155,8500000
6041,13900000
4235,9500000
6182,3272999
582,4000000
6093,5681000
8740,6600000
7000,11000000
9900,5700000
1314,5000000
2650,24000000
4759,8300000
254,2000000
1499,4000000
6371,9700000
4975,21200000
9461,4400000
210,3500000
3167,11000000
4984,10500000
8085,5790000
7118,3900000
331,8800000
8218,4310000
5756,6000000
3112,5533000
4074,6900000
5613,8000000
7130,3400000
5258,6000000
674,4229500
3728,7000000
1938,10200000
7878,8680000
1969,2200000
10036,12500000
8904,11700000
7320,3800000
9797,5500000
9409,6081000
8256,5800000
7367,9800000
4924,25000000
5144,5900000
708,20000000
9873,7416000
1711,66200000
5502,8000000
1869,7000000
5213,6500000
5628,6500000
1388,4800000
8023,6044000
5407,9000000
9169,5700000
8282,11000000
55,6000000
3778,6700000
9181,3500000
909,3500000
7429,4000000
1336,5000000
6022,4200000
6856,13000000
5497,8500000
10032,8000000
5291,8904000
10025,2400000
982,14500000
4345,8098999
1530,1645000
3726,5900000
5781,5550000
8094,4000000
892,8700000
505,3000000
517,10500000
9058,4800000
2840,12300000
8361,10800000
4029,4283000
5923,14000000
9121,5800000
2470,13200000
5907,5300000
1935,7100000
1367,14500000
7033,9000000
9839,15000000
5274,18000000
4676,5500000
5853,3401000
8903,8000000
1965,15000000
1004,6500000
4957,5700000
3540,44000000
6859,4225000
783,5198000
4487,4500000
4562,7520000
2002,1500000
3362,7259999
2877,9500000
7888,6400000
8294,7000000
5595,5511000
1734,5200000
5053,8800000
3300,3800000
5742,5421000
8634,6800000
4463,5000000
3817,7500000
7538,7200000
7052,3600000
949,12200000
295,3260000
6116,9500000
9931,4500000
5540,9850000
6897,4500000
10043,1800000
7744,5550000
984,19500000
9392,12500000
2862,11700000
1533,3035000
5128,3925000
6873,3399000
4076,4500000
8241,14000000
3430,9000000
8109,7517000
5800,4300000
1593,5500000
5234,5500000
2900,10400000
2218,3522999
6232,4000000
5518,25000000
5596,5000000
6648,26000000
1141,8500000
8562,6600000
7902,4054000
2708,12000000
728,8780000
8253,7000000
6393,4600000
4983,4690000
2926,15000000
9298,4000000
4401,3600000
3893,9000000
4815,7500000
4747,8200000
898,7300000
3949,7100000
8737,6400000
603,4700000
7566,7500000
9258,9500000
10034,1800000
6805,5300000
8522,24200000
4600,15000000
6382,11600000
8154,7230000
4931,12000000
4993,6000000
1729,4370000
4692,3300000
476,4500000
8097,3900000
6589,9200000
2041,3400000
239,8000000
6762,11500000
938,9650000
790,19000000
2735,6765000
8699,6000000
4749,12700000
1119,7200000
8297,17000000
10096,3679999
8928,10400000
3799,6900000
5448,4600000
123,15000000
9199,4200000
5098,8500000
4922,9500000
4592,10300000
7062,9148000
679,8200000
4297,5500000
6045,4000000
889,8429000
5188,7050000
9621,6200000
617,2000000
4111,4500000
4966,15200000
9786,5500000
6304,8800000
6555,1500000
4106,3000000
7752,4997000
2104,6545000
4159,2625000
844,6700000
7696,12500000
9866,9500000
9681,7250000
9042,6668000
1713,99500000
1758,8500000
2289,3400000
3669,3700000
3347,4000000
9546,4490000
2882,9000000
5914,8500000
5917,7500000
1763,6242500
8367,5886000
9116,4676000
9324,6700000
9768,7200000
8221,3400000
2285,10500000
10071,10000000
2731,4300000
6096,7725000
190,6000000
8386,6800000
871,39000000
3954,4200000
721,4900000
7264,5000000
3088,9650000
1133,5800000
3762,7100000
3522,22500000
8841,11000000
896,5800000
6229,7600000
5939,2300000
2409,5950000
9976,10800000
8953,15700000
9118,4259000
8006,11100000
6272,6200000
5944,4950000
5094,11000000
1404,7200000
5670,4233000
2952,12500000
8437,11000000
4968,4986000
4847,5578000
6060,5500000
9719,5900000
6751,9500000
833,6602000
5669,5500000
4002,1841000
10078,22000000
521,6700000
2885,20400000
2635,4700000
178,14500000
5365,10000000
4604,4000000
4522,15000000
1808,4500000
1634,3800000
8719,6600000
1583,4833000
5219,3300000
7027,12000000
9745,41000000
809,7300000
6627,10500000
9649,10300000
7958,19000000
3528,17000000
9034,6700000
2429,6200000
3646,7200000
8070,4500000
9174,4358000
8156,9800000
3476,15000000
7477,4400000
352,7900000
8764,6200000
4601,14000000
1662,7200000
8972,7000000
9211,4800000
4823,7500000
9522,6200000
8515,18000000
4537,5333000
608,16500000
3894,4000000
1453,9500000
9520,40000000
8626,6800000
3645,8500000
7369,4371000
4341,7700000
5986,5000000
7863,6065000
4589,21000000
7909,8600000
9526,12200000
3189,7173999
7591,9000000
5647,8500000
3806,9700000
170,6145000
6808,5700000
5294,6909999
4932,32600000
6800,5400000
7716,12000000
3410,6000000
373,12600000
2008,10000000
7901,6200000
10060,3685000
7860,24000000
625,4600000
8655,7418000
10008,3000000
5179,7300000
1779,5800000
5912,4650000
5997,4000000
1373,9600000
7620,7700000
5726,5355000
5261,13500000
3546,16000000
4819,7500000
9677,7800000
8950,15500000
5551,8500000
2031,3075000
2432,3650000
533,6000000
2329,4900000
3998,20000000
9049,3971000
